,2025,2025,2025,2025
ROI,"-1,00","-1,00","-1,00","-1,00"
Crescimento mês a mês %,#REF!,#REF!,#REF!,#REF!
,,,,
,,,,
Custo por Compra ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Clique ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Sessão,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,
Marketplace 3,,,,
,,,,
Investimento ideal dia,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Saldo mês,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Ticket Médio,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Impressões (M),,,,
CPM,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cliques (M),,,,
CTR,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Investimento,,,,
Compras Ads (M),,,,
Faturado Ads (M),,,,
ROAS Ads,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Compras (M),,,,
Receita Faturada Plataforma (M),,,,
ROAS Geral,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Acos,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Taxa de Conversão,#REF!,#REF!,#REF!,#REF!
Margem Operacional,30%,30%,30%,30%
ROI DIRETO,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ROIM,"0,00","0,00","0,00","0,00"
ROI,"-1,00","-1,00","-1,00","-1,00"
Crescimento mês a mês %,#REF!,#REF!,#REF!,#REF!
,,,,
,,,,
Custo por Compra ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Clique ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Sessão,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,
Mercado Livre (Oxxy Motos),,,,
Investimento,"R$ 7.989,25","R$ 10.528,18","R$ 9.688,54","R$ 0,00"
Investimento ideal dia,"R$ 7.722,94","R$ 4.211,27","R$ 3.875,42","R$ 0,00"
Saldo mês,"R$ 7.722,94","R$ 4.211,27","R$ 3.875,42","R$ 0,00"
Ticket Médio,"R$ 214,91","R$ 223,83","R$ 259,32",#DIV/0!
Impressões (M),3.626.484,4.245.518,4.364.532,0
CPM,"R$ 2,20","R$ 2,48","R$ 2,22",#DIV/0!
Cliques (M),"12.266,00","16.720,00","17.088,00","0,00"
CTR,"0,34%","0,39%","0,39%",#DIV/0!
Visitas (M),28.755,39.812,37.352,0
Compras Ads (M),472,639,588,0
Faturado Ads (M),"R$ 118.284,00","R$ 173.566,00","R$ 178.561,00","R$ 0,00"
ROAS Ads,"14,81","16,49","18,43",#DIV/0!
Compras (M),1056,1399,1190,0
